【宏观策略】研报索引  生成 2026-08-09  共 75 篇

== 周 2026-08-02 ==
  26/8/3  华创证券            【策略周报】策略周聚焦：把握反攻窗口
  26/8/2  招商证券            8月大类资产配置展望：防御优先，关注能源供给冲击
  26/8/2  —               20260802【兴证宏观】海外周报第125期：超级央行周下的波动
  26/8/2  东吴证券            宏观周报：8月多维度信号共振 市场或曙光初现
  26/8/2  东吴证券            宏观周报：8月多维度信号共振 市场或曙光初现
  26/8/2  —               东吴证券_宏观周报_+7月或不是今年PPI最高点--宏观量化经济指数周报20260802_芦哲
  26/8/2  中银国际证券          深度_宏观_宏观和大类资产配置周报：“务实管用”的政策关注哪些方面
  26/8/2  中银国际证券          策略周报：混沌背后的主、次问题
  26/8/2  国信证券            策略周报：7月第4周全球外资周观察-恒指周线5连阳，哪些资金在买？
  26/8/2  国信证券            策略周报：韩国监管计划引入个人投资上限举措——每周海内外重要政策跟踪
  26/8/2  —               大类资产配置双周报20260802
  26/8/1  Citi            European Economics Week Ahead_ Week of 3 August
  26/8/1  方正证券            专题策略报告：极致分化迎收敛，攻守兼备择良机——2026年8月份大类资产配置报告(总第100期)
  26/8/1  中银国际证券          2026年中期策略报告：盈利接棒 行情扩散
  26/8/1  国信证券            策略周报：如何看当下红利持续性
  26/8/1  诚通证券            宏观与大类资产周报：流动性边际改善 市场有望震荡筑底
  26/7/31  Citi            China Economics_ PMIs Slip into Contraction as Growth Momentum Fades
  26/7/31  J.P.Morgan      China_ NBS manufacturing PMI weakened sharply
  26/7/31  Morgan Stanley  China Economics_ Domestic Demand Weakness Extends into Q3
  26/7/31  Nomura          China_ The Politburo meeting indicated a shift to _countercyclical_ policies
  26/7/31  华源证券            2026年7月政治局会议点评：发力提效 动能向新
  26/7/31  摩根士丹利           中国股票策略：是时候重新加仓香港市场了
  26/7/31  摩根士丹利           地缘政治主导但宏观数据重回视野
  26/7/31  摩根大通            股票策略：2026年第二季度财报季追踪
  26/7/31  花旗              全球量化洞察：动量抛售：风格轮动还是拥挤交易 unwind？
  26/7/31  长江证券            政治局会议的五个“新”
  26/7/30  Citi            China Economics_ Mid-Year Politburo_ Rate Cut Green Light, Fiscal Acceleration A
  26/7/30  Morgan Stanley  China Economics_ Politburo_ Faster Fiscal Rollout, Not a Pivot Yet
  26/7/30  华金证券            策略类事件点评：新旧动能转换 股市结构性慢牛继续
  26/7/30  浦银国际证券          政治局会议解读：存量政策加快执行 结构发力主线不变
  26/7/29  东北证券            策略周报：长鑫上市等市场关注问题的思考
  26/7/29  招商证券            金融市场流动性与监管动态周报：当前韩国融资去杠杆情况如何？
  26/7/28  Morgan Stanley  China Economy_ No Pivot Yet—but Watch Closely
  26/7/28  Morgan Stanley  China Musings_ No Pivot Yet—but Watch Closely
  26/7/28  UBS             China Economic Perspectives_ Limited macro impact from the shift to Section 301 
  26/7/28  华创证券            【每周经济观察】全球资金流动周报第19期：美股单周转为净流出，中国微观流动性边际改善
  26/7/28  民银国际            海外宏观周报(2026年第28期)：特朗普距离再次“TACO”还有多远
  26/7/28  财信证券            大类资产配置周报：建议逐步增配权益资产

== 周 2026-07-27 ==
  26/7/25  东吴证券            金融产品周报：下周国内外重要事件密集发生 市场在波动中酝酿着反弹机会

== 周 2026-07-19 ==
  26/7/19  —               大类资产配置双周报20260719
  26/7/18  招银国际证券          策略观点：政策留力，经济放缓
  26/7/18  浙商证券            A股策略周报：亚太巨震A股未幸免 保持冷静、等待收敛
  26/7/17  格林大华期货          ＃＃＃-商品期货-＃＃＃-韩指或已探明底部区域--全球经济和大类资产周报---＃＃＃
  26/7/16  国联民生            国联民生政策周报：聚力稳增长惠民生促创新，多项关键工作有序推进

== 周 2026-07-12 ==
  26/7/13  招商证券            宏观研究_张静静 张一平_宏观与大类资产周报：国内权益结构为何如此极致？
  26/7/12  东吴证券            宏观研究_芦哲 唐遥衎_金融产品周报：市场虽仍有反复，但企稳窗口或快临近
  26/7/12  东吴证券            宏观研究_芦哲 李昌萌_宏观量化经济指数周报：价格因素或继续支撑我国出口保持较强韧性
  26/7/12  中国银河            宏观研究_张迪 詹璐_宏观周报：政策窗口渐近，海外扰动再起
  26/7/12  光大证券            策略研究_张宇生 范勇_策略周专题(2026年7月第1期)：市场或将震荡整固，关注景气主线
  26/7/12  华创证券            宏观研究_张瑜 李星宇_【每周经济观察】全球资金流动周报第17期：全球风险偏好显著修复，被动资金主导中国股基大幅流入
